title,href,context
[問卦] 隨便對別人勾肩搭背會被告性騷擾嗎？,https://www.ptt.cc/bbs/Gossiping/M.1625198311.A.C39.html,"想知道隨便對別人勾肩搭背會被告嗎？

剛剛看到有個男的對一個阿伯勾肩搭背

如果阿伯感到不舒服

是不是直接開告了？

有沒有八卦？
"
[問卦] 對屬虎的妹子說要深入虎穴 算性騷擾嗎？,https://www.ptt.cc/bbs/Gossiping/M.1624943734.A.BD2.html,"剛剛跟女同事聊天
說了句我就是要深入虎穴呀
沒想到女同事剛好屬老虎
會不會被告啊
小肥長得還算帥啦
不會有人醜性騷擾的問題
請專業法律人說說看

"
[問卦] 這樣在台灣是性騷擾吧？,https://www.ptt.cc/bbs/Gossiping/M.1624930625.A.122.html,"https://youtu.be/lB_Kc4HhNGs

國外的員工在美女老闆經過時放一些很煽情的音樂

老闆Ig:https://reurl.cc/VEM94Q

如果在亞洲國家（日本、台灣）這樣做的話絕對是性騷擾吧

是吧？

"
[問卦] 這算職場性騷擾嗎?,https://www.ptt.cc/bbs/Gossiping/M.1624026313.A.FD0.html,"https://i.imgur.com/u7ivIfa.gif

在滿場3萬多人 Youtube直播20多萬人面前

公然碰觸神秘領域

這個算是職場性騷擾嗎?

"
[問卦] 矮黑人為什麼只性騷擾賽夏族女性？,https://www.ptt.cc/bbs/Gossiping/M.1623495312.A.A14.html,"安安你好如題

是這樣啦

賽夏族最有名的矮靈祭

是因為矮黑人性騷擾賽夏族女性

賽夏族就報復矮黑人

然後就每年辦矮靈祭

但是為啥矮黑人只性騷擾賽夏族女性

沒有性騷擾賽夏族男性呢？

矮黑人沒有甲甲嗎？

有卦？

"
[問卦] 性騷擾是不是只要抱歉就行了,https://www.ptt.cc/bbs/Gossiping/M.1623385172.A.F9C.html,"


如題阿

疫苗的人性問題浮現阿

高官 有錢人 偷打之後

再來演一演抱歉

然後就沒事了




這讓本肥想到阿

性騷擾是不是道歉就沒事了



當街亂砍人道歉就沒事了

(幹！這答案居然是對的 思覺失調)



你老闆操死你

道歉就沒事了

(幹！答案居然是對的 某人說去問你老闆)




結論是道歉就沒事了

有沒有台灣種姓制度落實的很徹底



婆羅門道歉就沒事了

死老百姓 賤民 就往死裡罰阿？




why? 有人能解此卦？




來 寶傑

"
[問卦] 有沒有性騷擾路人還錄影放上網的八卦,https://www.ptt.cc/bbs/Gossiping/M.1622788502.A.F77.html,"在逛推特看到隨機對未成年人性騷擾的影片
這樣的行為不知道大家怎麼看？

https://i.imgur.com/6u1Ycpv.gif

"
[問卦] 壞總裁若發現高冷女是因大量性騷擾,https://www.ptt.cc/bbs/Gossiping/M.1622715852.A.830.html,"標題有點寫不下 是這樣子的 如果那種壞壞總裁系列裡頭的高富帥發現他長期一直無法
打動的高能正妹之所以高冷的原因是因為 童年受到太多 異性太多的性騷擾 所以 骨子
裡對異性反感 而導致的

然後 在大量的性騷擾之中 承受極大的心理壓力 求助無門 所以胃酸泛濫 又把牙齒全部
都酸蝕爛了 所以文明的人看了也是煩趕退避三舍

於是基於男女的及基於一般人與人之間的 都令那個高冷正妹 真心深感反感

這樣想要挑戰高冷正妹的真心的壞壞高富帥總裁會有什麼反應?


"
[問卦] 稱讚女同事穿的很好看算性騷擾嗎？,https://www.ptt.cc/bbs/Gossiping/M.1622262428.A.D1C.html,"阿肥今天上班的時候

充滿陽光的跟女同事打招呼，稱讚她今天穿的很好看

結果女同事瞬間變臉，帶著半恐懼半厭惡的表情退到旁邊…

讓阿肥百思不得其解

有沒有八卦？

"
[問卦] 是不是該有人出來說自己被性騷擾了,https://www.ptt.cc/bbs/Gossiping/M.1621301829.A.E9F.html,"
每次黨有問題的時候都會有女網紅出來說自己被性騷擾
然後好幾個禮拜新聞狂報
然後大家就忘記黨的問題了
是不是也差不多CD好了

"
[問卦] 雞排妹是否有可能緊急召開性騷擾記者會?,https://www.ptt.cc/bbs/Gossiping/M.1621132221.A.620.html,"疫情爆發一發不可收拾

雞排妹是否有可能跳出來護駕

緊急宣布召開性騷擾記者會

再次指控多名男星上下其手

並且強調女權不能再受到漠視 大聲呼籲伸張台灣女權

…

各位覺得可能性高嗎？有沒有八卦?

"
[新聞] 今年1-4月北捷發生上百起性騷擾、偷拍案 ,https://www.ptt.cc/bbs/Gossiping/M.1620564346.A.7D2.html,"1.媒體來源:
PTS 公視新聞網

2.記者署名:
黃立偉 張國樑／台北報導  2021-05-09 19:31 最後更新：2021-05-09 20:31

3.完整新聞標題:
今年1-4月北捷發生上百起性騷擾、偷拍案 忠孝復興站案件最多

4.完整新聞內文:

https://youtu.be/gNEtubqSmF4

台北捷運曾發生多起性騷擾、偷拍事件，捷運警察隊公布統計資料，今年1到4月，性騷擾
、偷拍都超過上百起。其中案件最多前3名捷運站，分別是忠孝復興站、台北車站和忠孝
新生站 ，都是運量最大、人潮最多的站點。婦女團體表示，性騷擾舉證困難，透過攝影
鏡頭科技執法，確實能提高證據力，不過罰則太輕，最重才10萬罰金，慣犯根本罰不怕。

戴著口罩，年過七旬簡姓嫌犯，今年3月在北捷板南線江子翠到龍山寺站間，涉嫌性騷擾
。一名20多歲女乘客，下車向警方求救，經影像資料庫比對，發現這名7旬老翁是捷運性
騷擾慣犯，事後依性騷擾罪嫌送辦。

捷運警察隊表示，現在不僅會影像建檔，也會透過大數據來分析，過濾尋找性騷擾犯嫌速
度更快。

捷運警察隊刑事組長葉錦洲說明，「我們今天圖像建立起來，這個影像跟這個我們建立的
這個圖庫，對看看是不是就是慣犯，做第一層的過濾，如果是前科犯的話，當然會比較快
一點。」

捷運警察隊公布今年1到4月性騷擾發生場所，以車廂、電扶梯最多。至於妨害秘密、偷拍
案，以電扶梯、站體出入口最多。

而最近5年偷拍或性騷擾案件，發生最多的車站，第一名是忠孝復興站，其次是臺北車站
、忠孝新生站，都是運量最大、人潮最多的站點。不過，慣犯罰不怕，婦女團體認為，主
要是舉證困難，加上罰則太輕。

現代婦女基金會教育宣導部主任劉容任說：「因為性騷擾它發生的快，你摸完就走了，然
後你拍如果你刪掉了，我不一定有那個當下有那個證據。罰的不高，現在就是故態復萌，
或者是我不知道他是有沒有針對他的身心靈，去做一些行為人的處理（輔導）。」

另外捷運警察隊也針對發生時段進行分析，強調性騷擾案，以早上六點到十點最多。至於
妨害秘密案，以下午六點到十點最多，都是上下班時段人潮密集，歹徒容易下手。目前以
分析資料，規劃16個重點車站，加強警力派駐，以及車廂巡邏勤務。

http://news.pts.org.tw/news_images/525278/1620561084h.jpg

http://news.pts.org.tw/news_images/525278/1620561084z.jpg


5.完整新聞連結 (或短網址):
https://news.pts.org.tw/article/525278

6.備註:

"
[問卦] 說人黑菊 算性騷擾嗎?,https://www.ptt.cc/bbs/Gossiping/M.1620497171.A.F23.html,"如題
肛門也算是隱私部位吧
如果說對方黑菊
讓對方感到很不舒服

這樣算不算是性騷擾?

感覺這應該告的成?
有沒有八卦?

"
[問卦] 這樣我會被告性騷擾ㄇ,https://www.ptt.cc/bbs/Gossiping/M.1620278347.A.3D4.html,"大家安安  我是龜頭少女辣

剛剛有個可愛妹妹找我做活動說故事

活動到一半突然問我怎麼稱呼

我差點說出了叫我龜頭少女就好

但想了想根本就不認識直接讓別人這樣叫我好像不太好

而且還是可愛ㄉ大學生妹妹

唉  好險我ㄉ腦袋快過嘴止住了嘴巴沒脫口說出

不然我應該可能或許當場就被告性騷擾ㄌㄅ= =

來問問鄉民我說了我ㄉ暱稱會被告ㄇ  有點怕怕ㄉ>""<


"
[問卦] 朋友性騷擾人 結果,https://www.ptt.cc/bbs/Gossiping/M.1620238195.A.42A.html,"唉唉 我家附近住了一家有錢人咪

他家兩個小孩

一個八加九 一個憂鬱文青咪

人家很邊緣咪

在學校就跑到八家酒附近當小跟班咪

可是那8加9根本不太理我 人家好像打不進他們的圈子咪

難過咪 難過咪

後來人家不知怎麼得跟憂鬱文青混熟了咪

之後也就都跟憂鬱文青混不去當小跟班了咪

可有一天那憂鬱文青不知道是頭被精裝書打到還是怎樣

竟然跑到路上熊抱妹子 問題是還是比他老的妹子

妹子就罵他臭流氓告他性騷擾

然後他就被抓去關了


咖被關完了放出來了 我們在河邊散步

後來坐在河邊看星星

啊我就問他 你當初熊抱妹子到底是什麼感覺蛤

他坐在我左邊 把手從我脖子後伸過去 搭載我右肩上

說「像抱你」

有沒有朋友性騷擾人 結果該怎麼辦的八卦

"
[問卦] 要幾個性騷擾才能轉移焦點,https://www.ptt.cc/bbs/Gossiping/M.1619847746.A.FE5.html,"
安安安
是這樣啦

感覺最近負面新聞越來越多
而且還連環爆
每週都有大新聞

飛機墜毀後是太魯閣
之後又來黑道事件

感覺一個性騷擾事件已經不夠了
上次那個性騷擾結局是不了了之
但是救援成功了

這次大概要幾個人性騷擾
才能轉移大眾視線
而且要哪些藝人出事比較夠份量
八卦？

"
[問卦] 疑似知名動物醫院獸醫性騷擾女助理,https://www.ptt.cc/bbs/Gossiping/M.1619542424.A.71E.html,"※註:有電視或媒體有報導者，請勿使用爆卦!，切勿用爆卦張貼新聞
無重大八卦請勿使用此分類，否則視同濫用爆卦鬧板(文章退回、水桶6個月)
未滿30繁體中文字 水桶3個月

#台南 我被老闆性騷擾 - Dcard
https://www.dcard.tw/f/job/p/235859663?cid=d55f5153-1eb3-4306-9024-d514bcfdfa4f

最近去帶狗去看醫生，剛好看到這間，聽說這位醫生已經不是第一次了，之前聽說好像有類似的風聲。突然有點替我家狗抖抖的


"
Re: [問卦] 鄉民有被女性性騷擾的經驗嗎？,https://www.ptt.cc/bbs/Gossiping/M.1619355701.A.EFC.html,"43
肥魯沒有
但是看過

當肥魯還是窮學生時在超商打工
當時同事有個小肥宅兩歲的男生

外貌像頑童瘦子
肥魯沒上班時
到店裡拿報廢吃時

常常在夜班時間有5、6個女生圍在櫃檯跟他聊天

還有個眼鏡妹會這樣跟他說
：我最近那個來
下班後可以送熱巧克力來我房間嗎

人帥真好QQ

"
